plot_ID,SITE,line,genotype,location,lib_ID,BIOMASS,TC,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,Group,Population
B1232,BFL,RAN.5.G1,RAN5,West,PD19-23,186.5,511,10.97,198.7318841,0.1589,0.0552,87.36310025,421,16,West_BFL,HAL_I
B1233,BFL,RAN.5.G1,RAN5,West,PD19-24,153,409,12.45,211.3752122,0.1801,0.0589,88.85630499,424,14.5,West_BFL,HAL_I
B1235,BFL,ELG.50.G2,ELG50,West,PD6-22,142.9,333,10.21,164.4122383,0.1844,0.0621,89.53147877,411,16,West_BFL,HAL_I
B1236,BFL,PDF.1.G1,PDF1,West,PD2-24,59.39,325,6.09,235.1351351,0.0853,0.0259,90.54878049,420,14,West_BFL,HAL_I
B1237,BFL,SPJ.2.G2,SPJ2,CenTex,PD4-23,64.59,179,7.78,221.0227273,0.1073,0.0352,87.81973203,442,16,CenTex_BFL,HAL_I
B1238,BFL,SPE.34.G2,SPE34,West,PD3-29,106.49,327,5.54,235.7446809,0.0823,0.0235,93.92971246,355,15.5,West_BFL,HAL_I
B1239,BFL,ARR.1A.G2,ARR1A,West,PD10-21,17.99,149,8.39,193.7644342,0.1175,0.0433,88.12351544,544,15,West_BFL,HAL_I
B1240,BFL,SEV.2.G1,SEV2,West,PD9-25,6.39,61,3.87,218.6440678,0.0497,0.0177,88.64265928,430,13.5,West_BFL,HAL_I
B1241,BFL,KEN.3.G1,KEN3,TexMex,PD19-26,NA,NA,4.71,255.9782609,0.0515,0.0184,77.3364486,369,15.5,TexMex_BFL,HAL_II
B1302,BFL,CCO.2.F,CCO2,West,PD10-22,8.99,101,4.45,214.9758454,0.0578,0.0207,90.2676399,377,10,West_BFL,HAL_I
B1303,BFL,BBF.5.G1,BBF5,TexMex,PD1-25,38.29,148,5.46,212.4513619,0.0736,0.0257,91.06463878,407,12.5,TexMex_BFL,HAL_II
B1304,BFL,DRB.1.G4,DRB1,TexMex,PD19-28,56.3,344,5.03,270.4301075,0.0606,0.0186,92.10526316,352,12.5,TexMex_BFL,HAL_II
B1305,BFL,DRB.1.G4,DRB1,TexMex,PD19-29,40.39,192,2.17,271.25,0.0214,0.008,87.58169935,423,10.5,TexMex_BFL,HAL_II
B1306,BFL,MCR.19.G2,MCR19,West,PD19-30,44.29,133,8.56,225.8575198,0.1069,0.0379,90.67017083,372,12,West_BFL,HAL_I
B1307,BFL,BEE.1A.G3,BEE1A,Sym,PD1-29,87.3,207,13.73,207.7155825,0.2044,0.0661,91.71087533,345,10.5,Sym_BFL,HAL_II
B1308,BFL,HDS.1.G1,HDS1,CenTex,PD25-5,42.39,297,5.17,220,0.0714,0.0235,86.77536232,354,13.5,CenTex_BFL,HAL_I
B1309,BFL,BAN.17.G1,BAN17,CenTex,PD10-23,58.5,268,3.82,217.0454545,0.0537,0.0176,87.83454988,402,15,CenTex_BFL,HAL_I
B1311,BFL,NMX.1.G1,NMX1,West,PD20-2,64.1,213,10.87,222.2903885,0.1564,0.0489,90.10896899,347,11.5,West_BFL,HAL_I
B1312,BFL,MCM.1.G1,MCM1,Filipes,PD20-3,193.6,379,9.96,244.1176471,0.1215,0.0408,87.24324324,335,13,Filipes_BFL,FIL
B1313,BFL,CCG.5.G1,CCG5,West,PD6-30,35.99,232,5.78,218.1132075,0.0824,0.0265,83.80809595,353,16.5,West_BFL,HAL_I
B1315,BFL,NDD.1.G1,NDD1,TexMex,PD2-27,163.6,454,5.67,210,0.0774,0.027,89.20353982,455,16.5,TexMex_BFL,HAL_II
B1316,BFL,MCM.1.G1,MCM1,Filipes,PD20-4,240,379,16.43,222.6287263,0.2167,0.0738,86.13622664,334,14,Filipes_BFL,FIL
B1317,BFL,BUS.3.G1,BUS3,West,PD10-24,132.5,419,9.05,195.8874459,0.139,0.0462,85.92592593,413,15,West_BFL,HAL_I
B1318,BFL,SLS.5.G3,SLS5,TexMex,PD20-5,NA,36,4.01,199.5024876,0.0494,0.0201,69.10377358,381,19.5,TexMex_BFL,HAL_II
B1319,BFL,NDD.1.G1,NDD1,TexMex,PD2-28,198,505,6.41,224.9122807,0.0996,0.0285,91.50579151,429,16,TexMex_BFL,HAL_II
