,genotype,plot_ID,SITE,line,location,BIOMASS,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,TC,SC,ETSC,Population,subpopulation,Group,LATITIUDE,LONGITUDE,RAWREADCOUNT,FILTEREDREADCOUNT,COUNTMAPPED,PERCENTMAPPED
PD10-27,BOS,B1327,BFL,BOS.3.G1,West,207.5,12.35,203.7953795,0.1832,0.0606,89.16363636,472,12.5,510,150,76500,HAL_I,HAL_I_II,HAL_I_BFL,32.127966,-97.559581,7353469,4232953,2397809,56.6
PD10-28,ARR,B1334,BFL,ARR.1A.G2,West,187.19,11.83,194.892916,0.1811,0.0607,90.25487256,422,14.5,578,104,60112,HAL_I,HAL_I_II,HAL_I_BFL,31.61339,-110.50628,6902357,4079506,2585956,63.4
PD10-29,CCO,B1335,BFL,CCO.2.F,West,80.19,8.71,222.1938776,0.1232,0.0392,91.60305344,396,13.5,312,89,27768,HAL_I,HAL_I_II,HAL_I_BFL,34.43787,-101.05611,5820383,3259683,1873621,57.5
PD10-3,BEX,B1013,BFL,BEX.14.G1,CenTex,123.69,8.89,225.0632911,0.1224,0.0395,93.77828054,457,12.5,279,199.5,55660.5,HAL_I,HAL_I_I,HAL_I_BFL,29.72139,-98.354249,7451502,3726622,1789566,48
PD10-30,ARA,B1404,BFL,ARA.1.G1,Filipes,166.1,14.75,193.3158585,0.14242,0.0763,41.92771084,462,14,172,577,99244,FIL,FIL_II,FIL_BFL,28.2236667,-96.987,6427760,3747229,2388664,63.7
PD10-4,CCO,B1033,BFL,CCO.2.F,West,13.19,4.67,222.3809524,0.0699,0.021,NA,455,13,120,81.5,9780,HAL_I,HAL_I_II,HAL_I_BFL,34.43787,-101.05611,6468644,3391072,1647515,48.6
PD10-5,ART,B1036,BFL,ART.1.G2,West,38.89,7.11,215.4545455,0.0959,0.033,90.37356322,421,14.5,172,113.5,19522,HAL_I,HAL_I_II,HAL_I_BFL,32.856733,-104.931567,6647562,3543583,1702483,48
PD10-6,CLD,B1106,BFL,CLD.3.G1,West,36.09,8.49,217.6923077,0.1268,0.039,94.81641469,435,9.5,107,95.5,10218.5,HAL_I,HAL_I_II,HAL_I_BFL,34.79841,-101.43629,6470034,3462315,1712321,49.5
PD10-7,BEL,B1107,BFL,BEL.3.G1,CenTex,34.49,4.28,256.2874251,0.055,0.0167,96.71717172,357,9,160,118.5,18960,HAL_I,HAL_I_I,HAL_I_BFL,30.918305,-97.658112,5281090,2709569,1544294,57
PD10-8,NOH,B1116,BFL,NOH.5.G2,West,97.29,4.12,219.1489362,0.053,0.0188,96.61016949,482,16,330,253.5,83655,HAL_II,HAL_II_I,HAL_II_BFL,26.4949444,-97.5452778,6767085,3531803,1598043,45.2
PD11-1,CNF,K1503,KINGS,CNF.2.G1,West,120.19,14.29,194.4217687,0.2036,0.0735,85.70487484,572,17,245,213.5,52307.5,HAL_I,HAL_I_II,HAL_I_KINGS,31.8020583,-110.9152417,5495297,3210341,1493616,46.5
PD11-10,ARR,K1810,KINGS,ARR.1A.G2,West,155.89,11.67,210.6498195,0.1742,0.0554,86.08695652,530,20,330,134.5,44385,HAL_I,HAL_I_II,HAL_I_KINGS,31.61339,-110.50628,8188474,5034886,2283187,45.3
PD11-11,ART,K1814,KINGS,ART.1.G2,West,68.89,17.29,196.9248292,0.2747,0.0878,84.11341134,524,15,124,130,16120,HAL_I,HAL_I_II,HAL_I_KINGS,32.856733,-104.931567,8180038,5030419,2687406,53.4
