,genotype,plot_ID,SITE,line,location,BIOMASS,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,TC,SC,ETSC,Population,subpopulation,Group,LATITIUDE,LONGITUDE,RAWREADCOUNT,FILTEREDREADCOUNT,COUNTMAPPED,PERCENTMAPPED
PD13-22,CAM,K2601,KINGS,CAM.1.G1,Filipes,418.8,17.95,155.4112554,0.3368,0.1155,89.7404704,549,14.5,380,756,287280,FIL,FIL_II,FIL_KINGS,26.0007,-97.26905,7389608,3998101,2288709,57.2
PD13-23,BAN,K2602,KINGS,BAN.17.G1,CenTex,74.29,8.65,204.4917258,0.1262,0.0423,NA,686,21,358,74.5,26671,HAL_I,HAL_I_I,HAL_I_KINGS,29.847301,-99.573411,5313143,2903397,1685876,58.1
PD13-24,CCO,K2604,KINGS,CCO.2.F,West,90.19,7,238.9078498,0.0836,0.0293,80.08849558,594,17,443,89,39427,HAL_I,HAL_I_II,HAL_I_KINGS,34.43787,-101.05611,7407055,4080560,2276973,55.8
PD13-25,CCL,K2608,KINGS,CCL.1.F,West,81.09,8.77,213.902439,0.1239,0.041,78.06026365,678,21.5,273,160.5,43816.5,HAL_I,HAL_I_II,HAL_I_KINGS,34.44411,-101.07511,8691028,4634642,3006623,64.9
PD13-26,ABI,K2616,KINGS,ABI.1.G3,CenTex,88.39,9.62,190.1185771,0.1367,0.0506,66.58932715,708,23,477,106,50562,HAL_I,HAL_I_I,HAL_I_KINGS,31.85987,-99.44224,8922691,4846132,2998843,61.9
PD13-27,ARA,K2702,KINGS,ARA.1.G1,Filipes,337.2,18.27,170.7476636,0.2967,0.107,81.55631986,515,17.5,240,597.5,143400,FIL,FIL_II,FIL_KINGS,28.2236667,-96.987,8388997,4838538,2994877,61.9
PD13-29,BEX,K2704,KINGS,BEX.14.G1,CenTex,74.69,18.83,215.2,0.2504,0.0875,62.34213548,534,24,150,286.5,42975,HAL_I,HAL_I_I,HAL_I_KINGS,29.72139,-98.354249,6709928,3474051,1854760,53.4
PD13-3,ARA,K2109,KINGS,ARA.1.G1,Filipes,262.4,21.53,186.5684575,0.3724,0.1154,85.49567532,612,19.5,267,557.5,148852.5,FIL,FIL_II,FIL_KINGS,28.2236667,-96.987,5452700,3000084,1898016,63.3
PD13-30,DOF,K2708,KINGS,DOF.11.G1,TexMex,75.49,5.02,226.1261261,0.0508,0.0222,52.09471767,635,28,321,250.5,80410.5,HAL_II,HAL_II_II,HAL_II_KINGS,29.8946389,-100.9946389,5968053,3201612,1948303,60.9
PD13-4,DOF,K2112,KINGS,DOF.11.G1,TexMex,64.29,6.75,195.0867052,0.0957,0.0346,81.79384203,655,22.5,597,247.5,147757.5,HAL_II,HAL_II_II,HAL_II_KINGS,29.8946389,-100.9946389,5050119,2711243,1647401,60.8
PD13-5,NMX,K2113,KINGS,NMX.1.G1,West,77.09,21.82,184.4463229,0.3313,0.1183,70.59993371,705,23,211,164,34604,HAL_I,HAL_I_II,HAL_I_KINGS,32.4299167,-106.5814833,3868478,1993190,1157111,58.1
PD13-7,BOS,K2207,KINGS,BOS.3.G1,West,177.8,14.47,193.708166,0.2258,0.0747,89.03948144,505,18,320,177.5,56800,HAL_I,HAL_I_II,HAL_I_KINGS,32.127966,-97.559581,3489993,1891408,1237524,65.4
PD13-8,ATA,K2210,KINGS,ATA.1.G1,TexMex,75.09,6.71,236.2676056,0.083,0.0284,78.67435159,631,20.5,180,170,30600,HAL_II,HAL_II_I,HAL_II_KINGS,28.7897,-98.5413167,4980366,2687523,1684355,62.7
PD13-9,BEL,K2217,KINGS,BEL.3.G1,CenTex,76.69,7.5,204.9180328,0.1145,0.0366,87.62654668,568,24,135,110,14850,HAL_I,HAL_I_I,HAL_I_KINGS,30.918305,-97.658112,4892157,2707021,1717611,63.5
PD14-1,BBD,B1408,BFL,BBD.5.G1,TexMex,76.09,4.18,205.91133,0.0532,0.0203,87.5,375,10.5,173,113.5,19635.5,HAL_II,HAL_II_II,HAL_II_BFL,29.6235361,-103.116225,6283476,3447394,1909535,55.4
PD14-10,ABI,B1512,BFL,ABI.1.G3,CenTex,41.89,4.25,256.0240964,0.049,0.0166,89.01098901,299,9.5,363,76,27588,HAL_I,HAL_I_I,HAL_I_BFL,31.85987,-99.44224,8186356,4692534,2953219,62.9
PD14-11,AWR,B1513,BFL,AWR.1.G1,Filipes,170.1,7.5,230.0613497,0.0958,0.0326,98.59594384,285,13.5,233,278,64774,FIL,FIL_I,FIL_BFL,28.285083,-96.945733,9525246,5165863,3187103,61.7
PD14-12,BEL,B1532,BFL,BEL.3.G1,CenTex,82.49,5.21,206.7460317,0.0752,0.0252,95.05703422,437,14.5,264,147.5,38940,HAL_I,HAL_I_I,HAL_I_BFL,30.918305,-97.658112,6784950,3958475,2517171,63.6
PD14-13,CAM,B1612,BFL,CAM.1.G1,Filipes,283.4,10.7,203.8095238,0.1518,0.0525,96.68938656,465,15,213,680.5,144946.5,FIL,FIL_II,FIL_BFL,26.0007,-97.26905,8057364,4489783,3153507,70.2
PD14-14,BUS,B1623,BFL,BUS.3.G1,West,46.09,4.33,227.8947368,0.0539,0.019,80.41474654,415,10,285,74.7,21289.5,HAL_I,HAL_I_II,HAL_I_BFL,35.26486,-102.06054,7110174,3820512,2289444,59.9
PD14-15,ABI,B1631,BFL,ABI.1.G3,CenTex,97.39,7.44,208.4033613,0.1031,0.0357,82.90282903,553,15.5,523,148,77404,HAL_I,HAL_I_I,HAL_I_BFL,31.85987,-99.44224,5725650,3231420,2184157,67.6
PD14-16,CCL,B1705,BFL,CCL.1.F,West,NA,3.32,245.9259259,0.0404,0.0135,89.36877076,480,11.5,NA,85,NA,HAL_I,HAL_I_II,HAL_I_BFL,34.44411,-101.07511,7673032,4207602,2641960,62.8
PD14-18,BOS,B1729,BFL,BOS.3.G1,West,107.29,7.19,184.3589744,0.102,0.039,92.64705882,312,15.5,333,147,48951,HAL_I,HAL_I_II,HAL_I_BFL,32.127966,-97.559581,6964253,3947098,2490294,63.1
PD14-19,CLD,B1730,BFL,CLD.3.G1,West,44.79,8.97,231.7829457,0.1276,0.0387,91.55509784,304,13,127,150.5,19113.5,HAL_I,HAL_I_II,HAL_I_BFL,34.79841,-101.43629,8563678,4649800,2690361,57.9
PD14-2,ALI,B1413,BFL,ALI.4.G1,West,45.29,5.81,235.2226721,0.0786,0.0247,93.73913043,446,14,167,50.5,8433.5,HAL_I,HAL_I_II,HAL_I_BFL,35.57391,-101.70107,6331206,3487897,2155678,61.8
PD14-20,ATA,B1736,BFL,ATA.1.G1,TexMex,23.49,3.96,240,0.0482,0.0165,89.5480226,275,13.5,149,95.3,14199.7,HAL_II,HAL_II_I,HAL_II_BFL,28.7897,-98.5413167,7820335,4489168,2804984,62.5
PD14-29,CCL,K2711,KINGS,CCL.1.F,West,95.39,11.58,182.3622047,0.159,0.0635,76.8302494,636,18.5,326,121.5,39609,HAL_I,HAL_I_II,HAL_I_KINGS,34.44411,-101.07511,6062565,3515925,2292218,65.2
PD14-3,CLA,B1422,BFL,CLA.1A.G1,West,NA,4.15,200.4830918,0.057,0.0207,87.46987952,866,13.5,34,70.7,2403.8,HAL_I,HAL_I_II,HAL_I_BFL,36.63637,-103.03747,6093127,3339321,2348729,70.3
PD14-4,CLD,B1430,BFL,CLD.3.G1,West,138.39,10.66,205.3949904,0.1675,0.0519,90.59561129,450,12,390,128,49920,HAL_I,HAL_I_II,HAL_I_BFL,34.79841,-101.43629,5690142,3284606,2017119,61.4
PD14-5,CNF,B1432,BFL,CNF.2.G1,West,195.8,13.21,193.4114202,0.198,0.0683,90.5094208,469,11.5,237,163.7,38796.9,HAL_I,HAL_I_II,HAL_I_BFL,31.8020583,-110.9152417,4963729,2767289,1696351,61.3
PD14-6,BUS,B1439,BFL,BUS.3.G1,West,21.19,5.88,243.9834025,0.852,0.0241,NA,405,14.5,140,76.5,10710,HAL_I,HAL_I_II,HAL_I_BFL,35.26486,-102.06054,5960746,3285204,2016686,61.4
PD14-7,CLA,B1440,BFL,CLA.1A.G1,West,NA,2.38,222.4299065,0.0326,0.0107,91.63179916,410,9.5,29,126.5,3668.5,HAL_I,HAL_I_II,HAL_I_BFL,36.63637,-103.03747,4985602,2690896,1835654,68.2
PD14-8,BEL,B1441,BFL,BEL.3.G1,CenTex,47.59,3.82,276.8115942,0.0482,0.0138,88.20512821,472,7,240,28.8,6912,HAL_I,HAL_I_I,HAL_I_BFL,30.918305,-97.658112,5097872,2980116,1857659,62.3
PD14-9,CAM,B1501,BFL,CAM.1.G1,Filipes,115.4,11.36,202.8571429,0.1594,0.056,91.26213592,428,11,189,572,108108,FIL,FIL_II,FIL_BFL,26.0007,-97.26905,6944974,3943031,2299952,58.3
PD15-1,NDP,K1013,KINGS,NDP.2.G3,Filipes,135.69,8.54,190.625,0.1346,0.0448,89.35323383,563,15,202,326,65852,FIL,FIL_I,FIL_KINGS,27.91165,-97.6076333,5616967,3327263,2343684,70.4
PD15-10,HAM,K1203,KINGS,HAM.1.G1,TexMex,53.39,5.19,186.0215054,0.0786,0.0279,84.07960199,606,16.5,163,233,37979,HAL_II,HAL_II_II,HAL_II_KINGS,33.00983,-100.18131,7099713,3666552,2309512,63
PD15-11,HDS,K1204,KINGS,HDS.1.G1,CenTex,70.89,8.79,203.9443155,0.1205,0.0431,84.68271335,645,17.5,309,146,45114,HAL_I,HAL_I_I,HAL_I_KINGS,30,-98.0121,6819875,3837779,2767141,72.1
PD15-12,GRA,K1206,KINGS,GRA.1.G1,West,163.59,9.01,195.8695652,0.136,0.046,86.62175168,555,11.5,409,169.5,69325.5,HAL_I,HAL_I_I,HAL_I_KINGS,29.9148611,-99.2430556,5402472,2884454,2101443,72.9
PD15-13,NDP,K1214,KINGS,NDP.2.G3,Filipes,299.6,9.73,191.5354331,0.1416,0.0508,85.25821596,563,21,543,398.5,216385.5,FIL,FIL_I,FIL_KINGS,27.91165,-97.6076333,6041455,3440125,2386384,69.4
PD15-14,PIS,K1309,KINGS,PIS.2.G2,Sym,NA,6.7,187.67507,0.0823,0.0357,69.76047904,760,36,80,193.5,15480,HAL_II,HAL_II_I,HAL_II_KINGS,26.0173056,-97.2735278,6401421,3734140,1164808,31.2
PD15-15,SPR,K1310,KINGS,SPR.30.G3,West,87.99,15.3,179.1569087,0.25,0.0854,81.72790467,597,17.5,316,104.5,33022,HAL_I,HAL_I_II,HAL_I_KINGS,30.67225,-104.1276944,5008866,3161739,2184797,69.1
PD15-16,SAN,K1312,KINGS,SAN.9.G1,TexMex,98.39,5.18,202.34375,0.0693,0.0256,79.31034483,527,18,442,192,84864,HAL_II,HAL_II_II,HAL_II_KINGS,30.1346111,-102.5632778,6671215,3632324,2273318,62.6
PD15-18,LAR,K1317,KINGS,LAR.1A.G2,Filipes,380.9,20.96,176.7284992,0.2986,0.1186,90.1352028,525,21.5,368,578,212704,FIL,FIL_II,FIL_KINGS,27.4773333,-99.2092139,7710581,4897587,3555298,72.6
PD15-19,MKF,K1402,KINGS,MKF.1.G1,CenTex,134.99,12.17,223.7132353,0.1789,0.0544,91.07534748,466,12.5,370,171.5,63455,HAL_I,HAL_I_I,HAL_I_KINGS,30.1777222,-97.7250556,6747751,4312348,3027013,70.2
PD15-20,POI,K1403,KINGS,POI.3.G4,Sym,75.09,9.61,202.742616,0.1201,0.0474,86.54761905,615,8,327,239,78153,HAL_II,HAL_II_I,HAL_II_KINGS,26.0642778,-97.2375278,7507289,4730068,3309983,70
PD15-24,DRB,K1408,KINGS,DRB.1.G4,TexMex,38.09,7.35,193.9313984,0.0957,0.0379,87.04819277,487,15.5,176,211,37136,HAL_II,HAL_II_II,HAL_II_KINGS,29.9411944,-100.9705556,7012698,4532663,2714145,59.9
PD15-26,PDS,K1415,KINGS,PDS.1.G1,West,125.09,19.9,210.8050847,0.3042,0.0944,89.01145524,464,17,270,114.5,30915,HAL_I,HAL_I_II,HAL_I_KINGS,34.93951,-101.65275,8965944,5510081,3698296,67.1
PD15-27,AWR,K1501,KINGS,AWR.1.G1,Filipes,133.29,13.18,211.2179487,0.1997,0.0624,97.44499645,531,15.5,205,272.5,55862.5,FIL,FIL_I,FIL_KINGS,28.285083,-96.945733,8050197,5024799,3574832,71.1
PD15-28,GRA,K1502,KINGS,GRA.1.G1,West,117.19,15.44,201.303781,0.2555,0.0767,91.45780051,637,16,290,98,28420,HAL_I,HAL_I_I,HAL_I_KINGS,29.9148611,-99.2430556,7384382,4206510,2724926,64.8
PD15-29,LAR,K1504,KINGS,LAR.1A.G2,Filipes,344.9,12.14,242.3153693,0.1431,0.0501,90.90909091,503,16,434,365,158410,FIL,FIL_II,FIL_KINGS,27.4773333,-99.2092139,7124166,4358572,2575641,59.1
PD15-3,KIC,K1108,KINGS,KIC.6.G3,TexMex,67.49,5.91,195.049505,0.0816,0.0303,86.80203046,589,17.5,312,158.5,49452,HAL_II,HAL_II_II,HAL_II_KINGS,29.6184944,-100.443,6459077,3338602,2357412,70.6
PD15-30,PAB,K1505,KINGS,PAB.1.F,Filipes,298.2,17.1,179.0575916,0.2919,0.0955,89.96793404,571,14.5,379,667,252793,FIL,FIL_I,FIL_KINGS,26.0199333,-97.4745,9694573,4589493,2822601,61.5
PD15-4,SNO,K1109,KINGS,SNO.7.G1,West,43.39,14.93,234.0125392,0.2421,0.0638,92.28778468,599,17,178,154,27412,HAL_I,HAL_I_II,HAL_I_KINGS,31.8005333,-110.7034667,6372228,3080906,2160258,70.1
PD15-5,MCM,K1111,KINGS,MCM.1.G1,Filipes,228.9,13.19,228.5961872,0.1766,0.0577,92.81811085,599,19.5,495,905.5,448222.5,FIL,FIL_II,FIL_KINGS,28.1518667,-98.6385217,5417967,3119792,2283600,73.2
PD15-6,ART,K1116,KINGS,ART.1.G2,West,345.6,12.17,202.4958403,0.1713,0.0601,89.31726908,509,16,660,310,204600,HAL_I,HAL_I_II,HAL_I_KINGS,32.856733,-104.931567,6035981,3483850,2471673,70.9
PD15-7,RAN,K1117,KINGS,RAN.5.G1,West,105.79,14.05,182.230869,0.2111,0.0771,89.93288591,589,14,237,238,56406,HAL_I,HAL_I_II,HAL_I_KINGS,33.46015,-101.91432,5928741,2639134,1618249,61.3
PD15-8,LAR,K1118,KINGS,LAR.1A.G2,Filipes,121.39,16.69,191.3990826,0.2248,0.0872,89.23476005,494,15,145,560,81200,FIL,FIL_II,FIL_KINGS,27.4773333,-99.2092139,6923143,3995560,2728103,68.3
PD15-9,HAM,K1201,KINGS,HAM.1.G1,TexMex,63.09,5.24,211.2903226,0.0733,0.0248,86.14564831,547,12,189,172.5,32602.5,HAL_II,HAL_II_II,HAL_II_KINGS,33.00983,-100.18131,6957926,3693982,2482797,67.2
PD16-1,PDB,K1511,KINGS,PDB.2.G2,West,93.99,11.76,169.4524496,0.1798,0.0694,88.32,555,15,444,172.5,76590,HAL_I,HAL_I_II,HAL_I_KINGS,34.92866,-101.63664,5534703,2280697,1176843,51.6
PD16-10,PDB,K1603,KINGS,PDB.2.G2,West,122.99,11.16,276.2376238,0.1825,0.0404,89.93670886,497,12,385,158.5,61022.5,HAL_I,HAL_I_II,HAL_I_KINGS,34.92866,-101.63664,6628524,4668153,3160250,67.7
PD16-11,DRB,K1604,KINGS,DRB.1.G4,TexMex,58.99,8.57,264.5061728,0.116,0.0324,92.07048458,522,17,273,317,86541,HAL_II,HAL_II_II,HAL_II_KINGS,29.9411944,-100.9705556,6336933,4368661,3095379,70.9
PD16-12,SMT,K1609,KINGS,SMT.1.G2,TexMex,41.09,7.25,230.1587302,0.1186,0.0315,NA,453,22,140,104.5,14630,HAL_II,HAL_II_II,HAL_II_KINGS,31.5616389,-98.5992222,6316805,4336734,3238244,74.7
PD16-15,NUE,K1615,KINGS,NUE.1.F,Filipes,382.1,24.21,167.1961326,0.4529,0.1448,86.2783534,484,19.5,388,845.5,328054,HAL_II,HAL_II_I,HAL_II_KINGS,27.5683833,-97.7955833,4455029,3330814,2485830,74.6
PD16-16,NMX,K1616,KINGS,NMX.1.G1,West,73.69,15.76,186.5088757,0.2738,0.0845,89.67314069,502,12,183,164,30012,HAL_I,HAL_I_II,HAL_I_KINGS,32.4299167,-106.5814833,4911932,3693550,2637191,71.4
PD16-19,GRA,K1703,KINGS,GRA.1.G1,West,97.39,11.66,218.3520599,0.1683,0.0534,87.04545455,562,18.5,290,93,26970,HAL_I,HAL_I_I,HAL_I_KINGS,29.9148611,-99.2430556,6837507,4809268,3320131,69
PD16-2,NOH,K1512,KINGS,NOH.5.G2,West,135.89,11.77,208.3185841,0.1639,0.0565,64.85507246,595,18,345,169.5,58477.5,HAL_II,HAL_II_I,HAL_II_KINGS,26.4949444,-97.5452778,5528284,3600252,2436428,67.7
PD16-20,STW,K1704,KINGS,STW.12.G1,CenTex,69.19,8.33,244.2815249,0.1116,0.0341,88.67276888,580,19,350,168.5,58975,HAL_I,HAL_I_I,HAL_I_KINGS,32.60925,-98.4895667,8246091,5577146,4106876,73.6
PD16-22,HUE,K1708,KINGS,HUE.19.G2,Sym,105.99,6.14,188.9230769,0.091,0.0325,86.66666667,652,17,344,309.5,106468,HAL_II,HAL_II_I,HAL_II_KINGS,30.22546,-99.01559,6662506,4630965,3231380,69.8
PD16-23,DRB,K1709,KINGS,DRB.1.G4,TexMex,348.7,12.28,208.1355932,0.1723,0.059,87.82945736,441,19.5,488,602.5,294020,HAL_II,HAL_II_II,HAL_II_KINGS,29.9411944,-100.9705556,5590127,4217064,3118627,74
PD16-24,SAN,K1710,KINGS,SAN.9.G1,TexMex,39.89,4.2,242.7745665,0.0537,0.0173,81.79775281,562,18.5,225,93,20925,HAL_II,HAL_II_II,HAL_II_KINGS,30.1346111,-102.5632778,6914005,5074287,3401983,67
PD16-26,ZAP,K1713,KINGS,ZAP.1.G1,Filipes,274.8,18.73,211.1612176,0.2699,0.0887,85.91749644,510,21,330,490,161700,FIL,FIL_II,FIL_KINGS,27.021,-99.1250833,8189377,5898262,3963136,67.2
PD16-27,KER,K1714,KINGS,KER.10.G1,CenTex,102.89,11.43,257.4324324,0.1506,0.0444,79.96987952,510,18,269,103.5,27841.5,HAL_I,HAL_I_I,HAL_I_KINGS,30.039708,-99.397314,7746945,5406380,3757705,69.5
PD16-28,PAB,K1715,KINGS,PAB.1.F,Filipes,181.4,9.13,224.3243243,0.1367,0.0407,93.11348206,486,20,299,551,164749,FIL,FIL_I,FIL_KINGS,26.0199333,-97.4745,6758719,4597034,3418609,74.4
PD16-3,SNO,K1513,KINGS,SNO.7.G1,West,73.19,13.26,186.7605634,0.2051,0.071,94.83734088,540,15,173,124,21452,HAL_I,HAL_I_II,HAL_I_KINGS,31.8005333,-110.7034667,6264792,3938030,2894804,73.5
PD16-30,NDP,K1804,KINGS,NDP.2.G3,Filipes,297.4,10.62,210.2970297,0.1445,0.0505,80.96468562,607,20,403,378.5,152535.5,FIL,FIL_I,FIL_KINGS,27.91165,-97.6076333,7102347,4891304,3413124,69.8
PD16-4,MCR,K1514,KINGS,MCR.19.G2,West,157.69,17.48,211.1111111,0.2932,0.0828,95.63636364,545,15.5,430,176.5,75895,HAL_I,HAL_I_II,HAL_I_KINGS,30.6828611,-104.13475,5632281,3293896,2285813,69.4
PD16-5,KNT,K1516,KINGS,KNT.14A.G2,West,81.39,20.69,229.6337403,0.3147,0.0901,91.93614409,571,10.5,234,120,28080,HAL_I,HAL_I_II,HAL_I_KINGS,31.0498889,-104.212,5898751,3473523,2396887,69
PD16-7,PIN,K1518,KINGS,PIN.1.G2,West,35.79,10.3,179.4425087,0.1719,0.0574,90.15748031,414,14.5,108,168.5,18198,HAL_I,HAL_I_II,HAL_I_KINGS,34.31606,-111.40063,4198466,3207633,2453168,76.5
PD17-1,EPS,K1809,KINGS,EPS.1C.G1,Filipes,347.9,9.84,221.1235955,0.1376,0.0445,86.36363636,484,18,527,712,375224,FIL,FIL_II,FIL_KINGS,28.4825639,-100.2100444,6308607,4192592,3183160,75.9
PD17-12,PDL,K2009,KINGS,PDL.4.G1,West,69.39,15.66,219.3277311,0.2078,0.0714,70.41817243,643,20.5,287,90,25830,HAL_I,HAL_I_II,HAL_I_KINGS,34.94755,-101.68897,5864531,4011942,3136632,78.2
PD17-14,GNF,K2011,KINGS,GNF.1.G1,Filipes,104.89,6.29,144.266055,0.1238,0.0436,78.16764133,631,21,230,100.5,23115,FIL,FIL_I,FIL_KINGS,29.3119167,-97.3001333,5558920,3944896,2703772,68.5
PD17-16,BEL,K2014,KINGS,BEL.3.G1,CenTex,72.69,5.75,214.5522388,0.0691,0.0268,68.66883117,628,26.5,337,99,33363,HAL_I,HAL_I_I,HAL_I_KINGS,30.918305,-97.658112,7284522,5101178,3565623,69.9
PD17-17,EPS,K2015,KINGS,EPS.1C.G1,Filipes,217.9,14.93,210.5782793,0.2119,0.0709,88.01498127,499,21,317,425.5,134883.5,FIL,FIL_II,FIL_KINGS,28.4825639,-100.2100444,6441146,4297223,2976166,69.3
PD17-18,KIC,K2017,KINGS,KIC.6.G3,TexMex,101.69,5.5,172.9559748,0.0724,0.0318,78.68217054,431,17.5,417,158,65886,HAL_II,HAL_II_II,HAL_II_KINGS,29.6184944,-100.443,6786883,4376650,3003322,68.6
PD17-19,TNK,K2101,KINGS,TNK.2.F,West,26.69,11.39,220.3094778,0.1581,0.0517,79.76011994,539,21,189,54.5,10300.5,HAL_I,HAL_I_II,HAL_I_KINGS,34.9369333,-104.6939667,6166973,3669646,2833580,77.2
PD17-2,MCM,K1811,KINGS,MCM.1.G1,Filipes,452.2,12.79,159.079602,0.2286,0.0804,85.07462687,543,17.5,490,640,313600,FIL,FIL_II,FIL_KINGS,28.1518667,-98.6385217,6656413,4088305,2770411,67.8
PD17-21,MCR,K2106,KINGS,MCR.19.G2,West,91.19,18.65,179.3269231,0.3072,0.104,81.9685357,599,17.5,267,152,40584,HAL_I,HAL_I_II,HAL_I_KINGS,30.6828611,-104.13475,7014188,3801141,2597946,68.3
PD17-23,SAN,K2115,KINGS,SAN.9.G1,TexMex,28.69,3.16,230.6569343,0.0331,0.0137,60.0619195,730,23.5,392,76,29792,HAL_II,HAL_II_II,HAL_II_KINGS,30.1346111,-102.5632778,7096126,4519079,3005804,66.5
PD17-24,ABI,K2116,KINGS,ABI.1.G3,CenTex,120.09,10.83,199.8154982,0.1429,0.0542,67.76165011,631,21,347,148.5,51529.5,HAL_I,HAL_I_I,HAL_I_KINGS,31.85987,-99.44224,8095452,5592831,3975154,71.1
PD17-27,PDS,K2208,KINGS,PDS.1.G1,West,149.9,15.06,202.147651,0.2106,0.0745,79.26616191,589,18.5,231,205,47355,HAL_I,HAL_I_II,HAL_I_KINGS,34.93951,-101.65275,7428995,4803758,3548926,73.9
PD17-29,NUE,K2212,KINGS,NUE.1.F,Filipes,137.89,8.72,223.5897436,0.1222,0.039,88.13559322,618,15,243,118,28674,HAL_II,HAL_II_I,HAL_II_KINGS,27.5683833,-97.7955833,6067981,4127157,2873335,69.6
PD17-3,SNO,K1812,KINGS,SNO.7.G1,West,77.19,15.19,188.228005,0.2466,0.0807,81.52334152,571,18,164,72,11808,HAL_I,HAL_I_II,HAL_I_KINGS,31.8005333,-110.7034667,6499037,3870818,2625207,67.8
PD17-30,PIS,K2213,KINGS,PIS.2.G2,Sym,98.59,5.44,204.5112782,0.0766,0.0266,87.10801394,644,14,320,156,49920,HAL_II,HAL_II_I,HAL_II_KINGS,26.0173056,-97.2735278,5310207,3737177,2477691,66.3
PD17-4,HAM,K1813,KINGS,HAM.1.G1,TexMex,61.99,5.53,201.0909091,0.0765,0.0275,74.69512195,495,18,170,209.5,35615,HAL_II,HAL_II_II,HAL_II_KINGS,33.00983,-100.18131,6507497,3677572,2538896,69
PD17-6,PDS,K1817,KINGS,PDS.1.G1,West,134.89,18.18,195.273899,0.2582,0.0931,83.72210953,452,17,317,117,37089,HAL_I,HAL_I_II,HAL_I_KINGS,34.93951,-101.65275,6180484,3718188,2604179,70
PD17-7,PDL,K1903,KINGS,PDL.4.G1,West,131.89,16.82,189.8419865,0.2442,0.0886,78.30900856,698,22.5,579,164.5,95245.5,HAL_I,HAL_I_II,HAL_I_KINGS,34.94755,-101.68897,4713214,2785632,1935092,69.5
PD17-8,DOF,K1906,KINGS,DOF.11.G1,TexMex,104.19,6,190.4761905,0.081,0.0315,75.45731707,504,20,679,207.5,140892.5,HAL_II,HAL_II_II,HAL_II_KINGS,29.8946389,-100.9946389,6159965,3749357,2483049,66.2
PD17-9,KIC,K1915,KINGS,KIC.6.G3,TexMex,407,15.95,198.630137,0.2171,0.0803,80.7079646,611,21,547,311,170117,HAL_II,HAL_II_II,HAL_II_KINGS,29.6184944,-100.443,6868748,4049976,2827041,69.8
PD18-11,EPS,B1029,BFL,EPS.1C.G1,Filipes,118.89,10.46,222.5531915,0.143,0.047,93.2038835,392,4.5,212,362.5,76850,FIL,FIL_II,FIL_BFL,28.4825639,-100.2100444,4802118,4206795,3321686,79
PD18-14,KNT,B1032,BFL,KNT.14A.G2,West,74.49,11.37,204.8648649,0.1691,0.0555,91.53908139,500,9,247,157,38779,HAL_I,HAL_I_II,HAL_I_BFL,31.0498889,-104.212,4339780,3818480,2665794,69.8
PD18-15,GRA,B1034,BFL,GRA.1.G1,West,77.29,4.19,198.5781991,0.0603,0.0211,93.11163895,436,13.5,398,119.5,47561,HAL_I,HAL_I_I,HAL_I_BFL,29.9148611,-99.2430556,6295604,5422313,4200056,77.5
PD18-16,PIS,B1035,BFL,PIS.2.G2,Sym,182.8,7.18,232.3624595,0.0971,0.0309,97.64011799,453,13.5,773,82,63386,HAL_II,HAL_II_I,HAL_II_BFL,26.0173056,-97.2735278,5603088,4694479,3427338,73
PD18-17,JHC,B1037,BFL,JHC.3.G2,TexMex,69.19,3.48,245.0704225,0.0451,0.0142,91.15044248,416,13.5,376,70,26320,HAL_II,HAL_II_II,HAL_II_BFL,30.20725,-98.3069667,5667208,4670289,3413743,73.1
PD18-18,LMA,B1039,BFL,LMA.4.G2,CenTex,6.19,2.79,202.173913,0.0376,0.0138,90.49429658,337,11.5,107,75,8025,HAL_I,HAL_I_I,HAL_I_BFL,30.0163889,-99.7313889,6377943,5311389,3797739,71.5
PD18-19,LAR,B1040,BFL,LAR.1A.G2,Filipes,44.4,6.83,216.1392405,0.0883,0.0316,92.04545455,390,14,168,259,43512,FIL,FIL_II,FIL_BFL,27.4773333,-99.2092139,3665052,3227868,2381247,73.8
PD18-2,HWY,B1009,BFL,HWY.1.G1,West,6.89,5.9,231.372549,0.0807,0.0255,94.52054795,457,11,52,105,5460,HAL_I,HAL_I_II,HAL_I_BFL,34.4690639,-101.110325,5341393,4555956,3600521,79
PD18-20,TNK,B1041,BFL,TNK.2.F,West,NA,3.81,260.9589041,0.0454,0.0146,90.85545723,315,14.5,NA,91,NA,HAL_I,HAL_I_II,HAL_I_BFL,34.9369333,-104.6939667,5161708,4383640,3313544,75.6
PD18-21,SNO,B1102,BFL,SNO.7.G1,West,62.89,8.5,198.5981308,0.1459,0.0428,95.55143652,439,8.5,127,122,15494,HAL_I,HAL_I_II,HAL_I_BFL,31.8005333,-110.7034667,4717683,4159169,3027676,72.8
PD18-22,SPR,B1105,BFL,SPR.30.G3,West,10.59,5.36,205.3639847,0.0776,0.0261,98.28244275,380,10.5,43,165,7095,HAL_I,HAL_I_II,HAL_I_BFL,30.67225,-104.1276944,5718700,5082045,3824182,75.2
PD18-23,LMA,B1109,BFL,LMA.4.G2,CenTex,48.89,4.94,230.8411215,0.0664,0.0214,96.77419355,419,9,138,87.5,12075,HAL_I,HAL_I_I,HAL_I_BFL,30.0163889,-99.7313889,6989529,5802693,4464637,76.9
